Category	Msg	Pattern
policy-violation	ET DELETED SMTP US Secret NOFORN	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*NOFORN[\s\w,/-]*(?=//(25)?X[1-9])/ism"
policy-violation	ET DELETED SMTP US Secret ORCON	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*(ORIGINATOR\sCONTROLLED|ORCON)[\s\w,/-]*(?=//(25)?X[1-9])/ism"
policy-violation	ET DELETED SMTP US Secret PROPIN	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*PROPIN[\s\w,/-]*(?=//(25)?X[1-9])/ism"
policy-violation	ET DELETED SMTP US Secret RD	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*(RESTRICTED\sDATA|RD)[\s\w,/-]*(?=//MR)/ism"
policy-violation	ET DELETED SMTP US Secret SPECAT	"/(?<!TOP\s|T)(SECRET|S)//[\s\w,/-]*SPECAT[\s\w,/-]*(?=//(25)?X[1-9])/ism"
policy-violation	ET DELETED High Ports - Secret	"/(?<!TOP|//)\Wsecret[^\w/a]/ism"
policy-violation	ET POLICY Credit Card Number Detected in Clear (16 digit spaced)	"/ (6011|5[1-5]\d{2}|4\d{3}|3\d{3}) \d{4} \d{4} \d{4}/"
policy-violation	ET POLICY Credit Card Number Detected in Clear (16 digit dashed)	"/ (6011|5[1-5]\d{2}|4\d{3}|3\d{3})-\d{4}-\d{4}-\d{4}/"
policy-violation	ET POLICY Credit Card Number Detected in Clear (16 digit)	"/ (6011|5[1-5]\d{2}|4\d{3}|3\d{3})\d{12} /"
policy-violation	ET POLICY Credit Card Number Detected in Clear (15 digit)	"/ (3[4|7]\d{2}|2014|2149|2131|1800)\d{11} /"
policy-violation	ET POLICY Credit Card Number Detected in Clear (15 digit spaced)	"/ (3[4|7]\d{2}|2014|2149|2131|1800) \d{4} \d{4} \d{3} /"
policy-violation	ET POLICY Credit Card Number Detected in Clear (15 digit dashed)	"/ (3[4|7]\d{2}|2014|2149|2131|1800)-\d{4}-\d{4}-\d{3} /"
policy-violation	ET POLICY Credit Card Number Detected in Clear (14 digit)	"/ (30[0-5]\d|36\d{2}|38\d{2})\d{10} /"
policy-violation	ET POLICY Credit Card Number Detected in Clear (14 digit spaced)	"/ (30[0-5]\d|36\d{2}|38\d{2}) \d{4} \d{4} \d{2} /"
policy-violation	ET POLICY Credit Card Number Detected in Clear (14 digit dashed)	"/ (30[0-5]\d|36\d{2}|38\d{2})-\d{4}-\d{4}-\d{2} /"
policy-violation	ET POLICY Credit Card Number Detected in Clear (15 digit spaced 2)	"/ (3[4|7]\d{2}|2014|2149|2131|1800) \d{6} \d{5} /"
policy-violation	ET POLICY Credit Card Number Detected in Clear (15 digit dashed 2)	"/ (3[4|7]\d{2}|2014|2149|2131|1800)-\d{6}-\d{5} /"
policy-violation	ET POLICY SMTP Executable attachment	"/filename=\s*[^\n]+\.exe/i"
misc-activity	ET POLICY FTP Login Attempt (non-anonymous)	!"/^USER\s+(anonymous|ftp)/smi"
policy-violation	ET DELETED Gmail gtalk	"/\[\[\d{1,3}\,\[\\\"\w\\\"\,\\\".+@gmail.com.+\\\"\,\\\"/i"
policy-violation	ET CHAT Yahoo IM conference request	"/^\x3c(REQIMG|RVWCFG)\x3e/ism"
policy-violation	ET POLICY EIN in the clear (US-IRS Employer ID Number)	"/ \d\d-\d{7} /"
policy-violation	ET DELETED Real.com Game Arcade Install (User agent)	"/User-Agent\:[^\n]+ARCADE_BUNDLE_DOWNLOADER/i"
policy-violation	ET POLICY SSN Detected in Clear Text (dashed)	"/ ([0-6]\d\d|7[0-256]\d|73[0-3]|77[0-2])-\d{2}-\d{4} /"
policy-violation	ET POLICY SSN Detected in Clear Text (spaced)	"/ ([0-6]\d\d|7[0-256]\d|73[0-3]|77[0-2]) \d{2} \d{4} /"
policy-violation	ET POLICY SSN Detected in Clear Text (SSN )	"/SSN ([0-6]\d\d|7[0-256]\d|73[0-3]|77[0-2])\d{6} /i"
policy-violation	ET POLICY SSN Detected in Clear Text (SSN# )	"/SSN# ([0-6]\d\d|7[0-256]\d|73[0-3]|77[0-2])\d{6} /i"
attempted-user	ET FTP Possible FTP Daemon Username SELECT FROM SQL Injection Attempt	"/SELECT.+FROM/i"
attempted-user	ET FTP Possible FTP Daemon Username DELETE FROM SQL Injection Attempt	"/DELETE.+FROM/i"
attempted-user	ET FTP Possible FTP Daemon Username INSERT INTO SQL Injection Attempt	"/INSERT.+INTO/i"
attempted-user	ET FTP Possible FTP Daemon Username UPDATE SET SQL Injection Attempt	"/UPDATE.+SET/i"
attempted-user	ET FTP Possible FTP Daemon Username UNION SELECT SQL Injection Attempt	"/UNION.+SELECT/i"
attempted-user	ET FTP Possible FTP Daemon Username INTO OUTFILE SQL Injection Attempt	"/INTO.+OUTFILE/i"
not-suspicious	ET SCAN PRO Search Crawler Probe	"/^PASS\s+PRO(-|\s)*search\s+Crawler/smi"
trojan-activity	ET MALWARE Bandook v1.2 Initial Connection and Report	"/# \d+d \d+dh \d+m # /iR"
command-and-control	ET MALWARE HotLan.C Spambot C&C download command	"/\x0D\x0A\x0D\x0ASLP\x3A\d+\x3BMOD\x3A[\S\x3B]+\x3BURL\x3Ahttp\x3A\x2F{2}[^\x3B]+\x3BSRV\x3Aupd\x3B/"
trojan-activity	ET DELETED Kaiten IRCbotnet Response	"/\x20\x3A(Receiving\x20file.\x0A|Saved\x20as\x20|Spoofs\x3A\x20|Kaiten\x20wa\x20goraku|Current\x20status\x20is\x3a\x20|Removed\x20all\x20spoofs|Packeting\x20|Panning\x20|Tsunami\x20heading\x20for\x20|Unknowing\x20|Killing\x20pid\x20)/"
trojan-activity	ET DELETED Kaiten IRCbotnet Commands	"/PRIVMSG\x20\x21\S+\x20(TSUNAMI\x20|PAN\x20|UDP\x20|UNKNOWN\x20|GETSPOOFS|SPOOFS\x20)/i"
command-and-control	ET MALWARE Looked.P/Gamania/Delf #109/! Style CnC Checkin Response from Server	"/^\x23\d\d\d\x2f\x21/"
trojan-activity	ET MALWARE Medbod UDP Phone Home Packet	"/\x06\x00?$/"
trojan-activity	ET DELETED Generic Raider Obfuscated VBScript	"/\x22\x3A(\w)\x3D\x22execute\s+\x22{5}\x3A.*\x3Aexecute\s*\x28\s*\1\s*\x29\x3Aend\s+function\x3A/s"
attempted-user	ET VOIP SIP UDP Softphone INVITE overflow	"/\r?\n\r?\n/R"
web-application-attack	ET WEB_SERVER HP OpenView Network Node Manager Remote Command Execution Attempt	"/node=.*\|.+\|/i"
web-application-attack	ET WEB_SPECIFIC_APPS ClarkConnect Linux proxy.php XSS Attempt	"/\/proxy\.php(\?|.*[\x26\x3B])url=[^&\;\x0D\x0A]*[<>\"\']/i"
web-application-attack	ET WEB_SPECIFIC_APPS XSS Possible Arbitrary Scripting Code Attack in phpBB (private message)	"/\<a href="[^"]*(script|about|applet|activex|chrome)\s*\:/i"
web-application-attack	ET WEB_SPECIFIC_APPS XSS Possible Arbitrary Scripting Code Attack in phpBB (signature)	"/\<br \/\>_________________\<br \/\>\<a href="[^"]*(script|about|applet|activex|chrome)\s*\:/i"
web-application-attack	ET ACTIVEX SoftCab Sound Converter ActiveX SaveFormat File overwrite Attempt	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*66757BFC-DA0C-41E6-B3FE-B6D461223FF5/si"
web-application-attack	ET WEB_SPECIFIC_APPS Virtualmin left.cgi XSS attempt	"/<?(java|vb)?script>?.*<.+\/script>?/i"
web-application-attack	ET WEB_SPECIFIC_APPS Virtualmin link.cgi XSS attempt	"/<?(java|vb)?script>?.*<.+\/script>?/Ui"
attempted-user	ET WEB_SPECIFIC_APPS Yahoo CD Player ActiveX Open Stack Overflow Attempt	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*5622772D-6C27-11D3-95E5-006008D14F3B/si"
attempted-admin	ET WEB_SPECIFIC_APPS EiQNetworks Security Analyzer Buffer Overflow	"/LICMGR_ADDLICENSE&[^\x00\n\r@&]{450}/i"
trojan-activity	ET USER_AGENTS WebHack Control Center User-Agent Outbound (WHCC/)	"/^User-Agent\:[^\n]+WHCC/Hmi"
web-application-attack	ET EXPLOIT Now SMS/MMS Gateway SMPP BOF Vulnerability	"/[a-zA-Z0-9]{1000,}/i"
policy-violation	ET INAPPROPRIATE Likely Porn	"/ (FREE XXX|dildo|masturbat|oral sex|ejaculat|up skirt|tits|bondage|lolita|clitoris|cock suck|hardcore (teen|anal|sex|porn)|raw sex|((fuck|sex|porn|xxx) (movies|dvd))|((naked|nude) (celeb|lesbian)))\b/i"
trojan-activity	ET USER_AGENTS User Agent Containing http Suspicious - Likely Spyware/Trojan	"/User-Agent\:[^\n]+http\:\/\//i"
suspicious-filename-detect	ET HUNTING OUTBOUND Suspicious Email Attachment	"/^\s*=\s*.*?\.(?=[abcdehijlmnoprsvwx])(a(d[ep]|s[x])|c(rt|[ho]m|li|pl|md|pp)|d(iz|ll)|e(m[fl]|xe|bs)|h(lp|sq|ta)|jse?|m(d[abzew]|s[tcgip]|htm|ht)|p(cd|if|l[xsc]|[lm]|ot)|r(eg|ar)|s(cr|ct|[hy]s|wf)|v(b[es]?|xd)|w(m[dfsz]|p[msz]|s[cfh])|xl[tw]|folder|fol|ba[st]|i(sp|n[sif])|lnk|nws|ocx|zip|url)[\x27\x22\n\r\s]/iR"
web-application-attack	ET WEB_SERVER Possible UNION SELECT SQL Injection In Cookie	"/\x0a\x0dCookie\x3a[^\n]+UNION.+SELECT/i"
web-application-attack	ET WEB_SERVER Possible SELECT FROM SQL Injection In Cookie	"/\x0d\x0aCookie\x3a[^\n]+SELECT.+FROM/i"
web-application-attack	ET WEB_SERVER Possible DELETE FROM SQL Injection In Cookie	"/\x0a\x0dCookie\x3a[^\n]DELETE.+FROM/i"
web-application-attack	ET WEB_SERVER Possible INSERT INTO SQL Injection In Cookie	"/\x0a\x0dCookie\x3a[^\n]INSERT.+INTO/i"
web-application-attack	ET WEB_SERVER Possible INTO OUTFILE Arbitrary File Write SQL Injection In Cookie	"/\x0a\x0dCookie\x3a[^\n]INTO.+OUTFILE/i"
web-application-attack	ET WEB_SERVER SELECT INSTR in Cookie, Possible ORACLE Related Blind SQL Injection Attempt	"/\x0a\x0dCookie\x3a[^\n]SELECT.+INSTR/i"
web-application-attack	ET WEB_SERVER SELECT SUBSTR/ING in Cookie, Possible Blind SQL Injection Attempt	"/\x0a\x0dCookie\x3a[^\n]SELECT.+SUBSTR/i"
attempted-user	ET DELETED Adobe Macromedia Flash Player In Windows XP Remote Arbitrary Code Execution CLSID Access Attempt	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*D27CDB6E-AE6D-11cf-96B8-444553540000/si"
trojan-activity	ET DELETED WU Malicious Spam Inbound	"/filename\s*=\s*"WU_Details_.....\.zip/m"
trojan-activity	ET DELETED MySpace Spam Inbound	"/filename\s*=\s*MySpace_document_[0-9]{5}\.zip/m"
trojan-activity	ET DELETED UPS Spam Inbound Variant 2	"/filename=\x22UPS_INVOICE_NR\.[0-9]{4}-[0-9]{6}\.zip\x22/mi"
trojan-activity	ET DELETED UPS Spam Inbound Variant 3	"/filename=\x22UPS_LABEL_NR\.[A-Z]+_[0-9]{4}-\d+\.ZIP\x22/i"
attempted-user	ET WEB_CLIENT Possible Java Deployment Toolkit Launch Method Remote Code Execution Attempt	"/(launch\x28.+-J-jar -J|-J-jar -J.+launch\x28)/i"
web-application-attack	ET DELETED Vulnerable Microsoft Video ActiveX CLSID access (43)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*F9769A06-7ACA-4E39-9CFB-97BB35F0E77E/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (7)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*1BE49F30-0E1B-11D3-9D8E-00C04F72D980/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (8)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*1C15D484-911D-11D2-B632-00C04F79498E/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (9)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*1DF7D126-4050-47F0-A7CF-4C4CA9241333/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (10)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*2C63E4EB-4CEA-41B8-919C-E947EA19A77C/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (11)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*334125C0-77E5-11D3-B653-00C04F79498E/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (12)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*37B0353C-A4C8-11D2-B634-00C04F79498E/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (13)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*37B03543-A4C8-11D2-B634-00C04F79498E/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (14)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*37B03544-A4C8-11D2-B634-00C04F79498E/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (15)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*418008F3-CF67-4668-9628-10DC52BE1D08/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (16)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*4A5869CF-929D-4040-AE03-FCAFC5B9CD42/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (17)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*577FAA18-4518-445E-8F70-1473F8CF4BA4/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (18)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*59DC47A8-116C-11D3-9D8E-00C04F72D980/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (19)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*7F9CB14D-48E4-43B6-9346-1AEBC39C64D3/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (20)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*823535A0-0318-11D3-9D8E-00C04F72D980/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (21)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*8872FF1B-98FA-4D7A-8D93-C9F1055F85BB/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (22)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*8A674B4C-1F63-11D3-B64C-00C04F79498E/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (23)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*8A674B4D-1F63-11D3-B64C-00C04F79498E/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (24)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*9CD64701-BDF3-4D14-8E03-F12983D86664/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (25)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*9E77AAC4-35E5-42A1-BDC2-8F3FF399847C/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (26)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*A1A2B1C4-0E3A-11D3-9D8E-00C04F72D980/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (27)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*A2E3074E-6C3D-11D3-B653-00C04F79498E/si"
web-application-attack	ET ACTIVEX Vulnerable Microsoft Video ActiveX CLSID access (28)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*A2E30750-6C3D-11D3-B653-00C04F79498E/si"
attempted-user	ET ACTIVEX Possible Black Ice Printer Driver Resource Toolkit ActiveX Control EnableStartApplication/EnableStartBeforePrint/EnableKeepExistingFiles/EnablePassParameters Function Call Attempt	"/(EnableStartApplication|EnableStartBeforePrint|EnableKeepExistingFiles|EnablePassParameters)/i"
attempted-user	ET ACTIVEX Possible Black Ice Printer Driver Resource Toolkit ActiveX Control SetApplicationPath/SetStartApplicationParamCode/SetCustomStartAppParameter Function Call Attempt	"/(SetApplicationPath|SetStartApplicationParamCode|SetCustomStartAppParameter)/i"
attempted-user	ET ACTIVEX Possible EMC Captiva PixTools Distributed Imaging ActiveX Control Vulnerable SetLogLevel/SetLogFileName Method Arbitrary File Creation/Overwrite Attempt	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*00200338-3D33-4FFC-AC20-67AA234325F3/si"
attempted-user	ET ACTIVEX Hyleos ChemView ActiveX Buffer Overflow Function Call	"/(ReadMolFile|SaveasMolFile)/i"
attempted-user	ET ACTIVEX Microsoft Multimedia Controls - ActiveX control's spline function call Object	"/new[\r\n\s]*ActiveXObject[\r\n\s]*\([\r\n\s]*(\x22DirectAnimation\.PathControl\x22|\x27DirectAnimation\.PathControl\x27)[\r\n\s]*\)|(\w+)[\r\n\s]*=[\r\n\s]*(\x22DirectAnimation\.PathControl\x22|\x27DirectAnimation\.PathControl\x27)[\r\n\s]*\x3b.*new[\r\n\s]*ActiveXObject[\r\n\s]*\([\r\n\s]*\1[\r\n\s]*\)/smi"
attempted-user	ET ACTIVEX ACTIVEX Possible Microsoft IE Install Engine Inseng.dll Arbitrary Code Execution	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*6E449683-C509-11CF-AAFA-00AA00B6015C/si"
attempted-user	ET ACTIVEX Possible Microsoft IE Install Engine Inseng.dll Arbitrary Code Execution (2)	"/new[\r\n\s]*ActiveXObject[\r\n\s]*\([\r\n\s]*(\x22ASControls\.InstallEngineCtl\x22|\x27ASControls\.InstallEngineCtl\x27)[\r\n\s]*\)|(\w+)[\r\n\s]*=[\r\n\s]*(\x22ASControls\.InstallEngineCtl\x22|\x27ASControls\.InstallEngineCtl\x27)[\r\n\s]*\x3b.*new[\r\n\s]*ActiveXObject[\r\n\s]*\([\r\n\s]*\1[\r\n\s]*\)/smi"
attempted-user	ET ACTIVEX Possible Microsoft IE Shell.Application ActiveX Arbitrary Command Execution	"/new[\r\n\s]*ActiveXObject[\r\n\s]*\([\r\n\s]*(\x22Shell\.Application\x22|\x27Shell\.Application\x27)[\r\n\s]*\)|(\w+)[\r\n\s]*=[\r\n\s]*(\x22Shell\.Application\x22|\x27Shell\.Application\x27)[\r\n\s]*\x3b.*new[\r\n\s]*ActiveXObject[\r\n\s]*\([\r\n\s]*\1[\r\n\s]*\)/smi"
attempted-user	ET ACTIVEX ACTIVEX Possible Microsoft IE Shell.Application ActiveX Arbitrary Command Execution (2)	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*13709620-C279-11CE-A49E-444553540000/si"
web-application-attack	ET WEB_CLIENT Internet Explorer javascript onUnload http spliting attempt (body)	"/<body\s+[^>]*onUnload\s*=\s*[\x22\x27]?\(\)/"
web-application-attack	ET WEB_CLIENT Internet Explorer javascript onUnload http spliting attempt (img)	"/<img\s+[^>]*onEnd\s*=\s*[\x22\x27]?\(\)/"
web-application-attack	ET WEB_CLIENT Internet Explorer javascript onURLFlip http spliting attempt (body)	"/<body\s+[^>]*onURLFlip\s*=\s*[\x22\x27]?\(\)/"
web-application-attack	ET WEB_CLIENT Internet Explorer javascript onURLFlip http spliting attempt	"/<img\s+[^>]*onURLFlip\s*=\s*[\x22\x27]?\(\)/"
web-application-attack	ET EXPLOIT US-ASCII Obfuscated script	"/\xbc[\xf3\xd3][\xe3\xc3][\xf2\xd2][\xe9\xc9][\xf0\xd0][\xf4\xd4]/"
web-application-attack	ET EXPLOIT US-ASCII Obfuscated VBScript download file	"/\xae[\xef\xcf][\xf0\xd0][\xe5\xc5][\xee\xce]\xa0\xa2[\xe7\xc7][\xe5\xc5][\xf4\xd4]\xa2/"
web-application-attack	ET EXPLOIT US-ASCII Obfuscated VBScript execute command	"/[\xf3\xd3][\xe8\xc8][\xe5\xc5][\xec\xcc][\xec\xcc][\xe5\xc5][\xf8\xd8][\xe5\xc5][\xe3\xc3][\xf5\xd5][\xf4\xd4][\xe5\xc5]/"
web-application-attack	ET EXPLOIT US-ASCII Obfuscated VBScript	"/[\xf6\xd6][\xe2\xc2][\xf3\xd3][\xe3\xc3][\xf2\xd2][\xe9\xc9][\xf0\xd0][\xf4\xd4]/"
web-application-attack	ET ACTIVEX ImageShack Toolbar ImageShackToolbar.dll ActiveX Control Insecure Method Vulnerability	"/file\:.*\.(jpg|ini|exe|dll|bat|com|cab|txt)/i"
web-application-attack	ET ACTIVEX ACTIVEX IncrediMail IMMenuShellExt ActiveX Control Buffer Overflow Vulnerability	"/[0-9]{3,}/"
attempted-user	ET ACTIVEX IncrediMail 2.0 Authenticate Method Remote Buffer Overflow Attempt	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*032038A5-B655-11D3-BB7D-0050DA276194/si"
web-application-attack	ET ACTIVEX Installshiled 2009 premier ActiveX File Overwrite clsid Access	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*34E7A6F9-F260-46BD-AAC8-1E70E22139D2/si"
web-application-attack	ET ACTIVEX InstanGet v2.08 Activex Control DOS clsid access attempt	"/<OBJECT\s+[^>]*classid\s*=\s*[\x22\x27]?\s*clsid\s*\x3a\s*\x7B?\s*98C92840-EB1C-40BD-B6A5-395EC9CD6510/si"
